"id","user_id","date","original_bill_number","internal_bill_number","amount","vat_code","client_details","system_details","created_at","updated_at","deleted_at"
755,1,"2018-04-15","2018-04-15-5","2018-04-15-5","-15,72",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 12,73], 1406 [EUR 2,99] <-- 1800 Bank [EUR 15,72]","2019-10-31 13:46:39","2019-10-31 13:46:39",NULL
754,1,"2018-03-31","2018-03-31-6","2018-03-31-6","-16,84",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 13,64], 1406 [EUR 3,20] <-- 1800 Bank [EUR 16,84]","2019-10-31 13:46:08","2019-10-31 13:46:08",NULL
753,1,"2018-03-15","2018-03-15-8","2018-03-15-8","-10,11",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 8,19], 1406 [EUR 1,92] <-- 1800 Bank [EUR 10,11]","2019-10-31 13:45:38","2019-10-31 13:45:38",NULL
752,1,"2018-02-28","2018-02-28-6","2018-02-28-6","-6,33",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 5,13], 1406 [EUR 1,20] <-- 1800 Bank [EUR 6,33]","2019-10-31 13:45:00","2019-10-31 13:45:00",NULL
751,1,"2018-02-15","2018-02-15-5","2018-02-15-5","-6,74",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 5,46], 1406 [EUR 1,28] <-- 1800 Bank [EUR 6,74]","2019-10-31 13:44:29","2019-10-31 13:44:29",NULL
750,1,"2018-01-31","2018-01-31-5","2018-01-31-5","-6,33",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 5,13], 1406 [EUR 1,20] <-- 1800 Bank [EUR 6,33]","2019-10-31 13:43:59","2019-10-31 13:43:59",NULL
749,1,"2018-12-31","2018-12-31-3","2018-12-31-3","-197,56",9,"Diesel / TotalCard","5400 Wareneingang 19% Vorsteuer [EUR 160,02], 1406 [EUR 37,54] <-- 1800 Bank [EUR 197,56]","2019-10-31 13:41:21","2019-10-31 13:41:21",NULL
748,1,"2018-12-15","2018-12-15-3","2018-12-15-3","-147,99",9,"Diesel / TotalCard","5400 Wareneingang 19% Vorsteuer [EUR 119,87], 1406 [EUR 28,12] <-- 1800 Bank [EUR 147,99]","2019-10-31 13:40:49","2019-10-31 13:40:49",NULL
747,1,"2018-11-30","2018-11-30-1","2018-11-30-1","-97,01",9,"Diesel / TotalCard","5400 Wareneingang 19% Vorsteuer [EUR 78,58], 1406 [EUR 18,43] <-- 1800 Bank [EUR 97,01]","2019-10-31 13:40:13","2019-10-31 13:40:13",NULL
746,1,"2018-11-15","2018-11-15-3","2018-11-15-3","-84,95",9,"Diesel / TotalCard","5400 Wareneingang 19% Vorsteuer [EUR 68,81], 1406 [EUR 16,14] <-- 1800 Bank [EUR 84,95]","2019-10-31 13:39:50","2019-10-31 13:39:50",NULL
